"id","key","value"
"asap","s7_r1_b","Felt the ""Low confidence"" label reflected on her, not the AI."
"asap","s7_r2_n","Jordan, 20"
"asap","s7_r2_d","ADHD, skeptical"
"asap","s7_r2_b","Needed a mid-task ""I'm stuck"" option."
"asap","s7_r3_n","Maya, 18"
"asap","s7_r3_d","First-year"
"asap","s7_r3_b","Missed the explainability link entirely."
"asap","s7_takeaway","The emotional gap: Synthetic users were logical and consistent. Real users aren't. Mood governs motivation, and AI follows logic."
"asap","s8_title","The pivot"
"asap","s8_subtitle","The feature we built to help was the one that caused harm."
"asap","s8_h1","BEFORE"
"asap","s8_h1b","Low confidence"
"asap","s8_h1c","Clinical label to signal AI uncertainty. AI testing flagged no issues."
"asap","s8_h2","AFTER"
"asap","s8_h2b","This is my best guess"
"asap","s8_h2c","Natural language that owns AI limitation without reflecting on the user."
"asap","s8_caption","Priya read the label as a judgment of herself, not the AI. For a first-generation student battling imposter syndrome, it did harm. Transparency without empathy is just data."
"asap","s9_title","Lesson from the machine"
"asap","s9_h1","Ethics surface late — unless you look early"
"asap","s9_b1","The confidence label harm only surfaced in Phase 4. One checkpoint at the start isn't enough."
"asap","s9_h2","Over-reliance is the core paradox — and it's unresolved"
"asap","s9_b2","We built an AI tool to fix AI dependency. The students who need it most have to open it at the exact moment they're avoiding work."
"asap","s9_h3","Test with real users earlier"
"asap","s9_b3","A human in Phase 2 would have caught the confidence label and mood-priority gaps weeks sooner."
"asap","s10_title","Reflection + close"
"asap","s10_h1","Where AI helped"
"asap","s10_b1","Research synthesis in hours. A prototype in one evening. Synthetic personas that caught structural issues before any real user saw them."
"asap","s10_h2","Where it fell short"
"asap","s10_b2","Synthetic users were emotionally flat. Figma Make broke under complexity. AI rewards shallow iteration if you let it."
"asap","s10_h3","What we'd do next"
"asap","s10_b3","Design for the worst day. Mood & energy need to be first-class inputs not edge cases. Next version needs a low-friction ""I can't right now"" mode."
"asap","s10_quote","""The goal is not helping students finish work faster. It is helping them eventually not need the system at all."""
"petclear","projectName","PetClear"
"petclear","projectType","Evidence Story"
"petclear","promiseLine","No surprises at the airport."
"petclear","metaRole","Product Strategist"
"petclear","metaTimeline","4 Months (Spring 2026)"
"petclear","metaTeam","[Team TBD]"
"petclear","metaTools","[Tools TBD]"
"petclear","metaPlatform","[Platform TBD]"
"petclear","s1_title","About Project"
"petclear","s1_body","Traveling with a pet shouldn't be a guessing game. Every country, airline, and document comes with different rules, deadlines, and requirements. PetClear gives you a personalized checklist based on your pet and travel route showing exactly what you need, where to get it, and when it's due. Everything organized. Everything tracked. No surprises at the airport."
"petclear","s2_title","Problem statement"
"petclear","s2_body","Airlines take the pet fee and say nothing about what comes next. Owners arrive at the airport missing a document they never knew existed."
"petclear","s2_c1_h","Information Gap"
"petclear","s2_c1_b","Requirements invisible during booking — NOC, fitness certs, timing windows."
"petclear","s2_c2_h","Trust Gap"
"petclear","s2_c2_b","Airline, vet, blog, forum all disagree on what is actually required."
"petclear","s2_c3_h","Memory Gap"
"petclear","s2_c3_b","Docs lost in camera rolls, every trip starts from scratch."
"petclear","s3_title","The airline audit"
"petclear","s3_body","10 airline policy pages reviewed, r/pettravel and r/expats threads read, then every airline called directly. The same gap appeared every time — no route-specific, animal-specific document checklist anywhere."
"petclear","s3_r1_h","Singapore Airlines:"
"petclear","s3_r1_b","Approved titre-test labs not mentioned."
"petclear","s3_r2_h","Emirates:"
"petclear","s3_r2_b","Checklist only after booking — too late."
"petclear","s3_r3_h","IndiGo:"
"petclear","s3_r3_b","48hr fitness cert window omitted."
"petclear","s3_r4_h","United Airlines:"
"petclear","s3_r4_b","""Check destination requirements"" (no link)."
"petclear","s3_r5_h","Lufthansa:"
"petclear","s3_r5_b","No timing windows or USDA endorsement."
"petclear","s3_r6_h","British Airways:"
"petclear","s3_r6_b","AHC 10-day window absent."
"petclear","s3_r7_h","Qatar Airways:"
"petclear","s3_r7_b","Country import rules missing."
"petclear","s3_r8_h","Air India:"
"petclear","s3_r8_b","No NOC mention anywhere on the page."
"petclear","s3_r9_h","Air France:"
"petclear","s3_r9_b","No processing timelines."
"petclear","s3_r10_h","Akasa Air:"
"petclear","s3_r10_b","No health cert guidance."
"petclear","s3_v1","Verdict: Every airline listed carrier sizes and fees, none generated a route-specific checklist."
"petclear","s3_v2","Verdict: 5 of 7 airlines could not or would not give complete requirements on call — Lufthansa explicitly refused, only United was clear, for domestic only."
"petclear","s4_title","User persona"
"petclear","s4_quote","""I did everything I was supposed to do. Nobody told me there was more."""
"petclear","s4_g1_h","Goal"
"petclear","s4_g1_b","Travel with pet, no last-minute surprises; one trusted source; confirmed ready before the airport."
"petclear","s4_g2_h","Represents"
"petclear","s4_g2_b","Any age, any pet, domestic or international — always underprepared by the system."
"petclear","s4_g3_h","Pain Points"
"petclear","s4_g3_b","Airline website incomplete or vague. Conflicting answers across sources."
"petclear","s4_list_h","Five real participants. Different failure points."
"petclear","s4_l1_h","Kshitij:"
"petclear","s4_l1_b","Missing NOC."
"petclear","s4_l2_h","Aryan:"
"petclear","s4_l2_b","Fitness cert via WhatsApp."
"petclear","s4_l3_h","Akansha:"
"petclear","s4_l3_b","4 conflicting answers."
"petclear","s4_l4_h","Peter:"
"petclear","s4_l4_b","Vaccine 5 days short."
"petclear","s4_l5_h","Osaris:"
"petclear","s4_l5_b","Cert expired unnoticed."
"petclear","s5_title","Solution + features"
"petclear","s5_body","A standalone tool, not a feature inside an airline app. Enter pet and route, get exact documents, sources and lead times."
"petclear","s5_highlight","PetClear does not change any regulation. It makes existing requirements visible, organised, and timely — at the right moment."
"petclear","s5_f1_h","AI pet scan"
"petclear","s5_f1_b","Identifies breed, route checklist with lead times."
"petclear","s5_f2_h","Trip checkpoint"
"petclear","s5_f2_b","Expiry alerts and country validity."
"petclear","s5_f3_h","Vaccine tracker"
"petclear","s5_f3_b","One place, always current."
"petclear","s5_f4_h","Document vault"
"petclear","s5_f4_b","Real travellers, same route."
"petclear","s6_title","User flow"
"petclear","s6_b1","One entry, one profile: Sign-up and login converge fast."
"petclear","s6_b2","The scan is the trigger: Everything upstream is setup, downstream is the live trip."
"petclear","s6_b3","Branch to track, merge to remember: Destination and document tracking run parallel, then fold into shared history."
"petclear","s7_title","Before & after"
"petclear","s7_r1_b","Search across 5 sources →"
"petclear","s7_r1_a","Scan pet, profile started, route checklist generated"
"petclear","s7_r2_b","Pay pet fee, no requirements shown →"
"petclear","s7_r2_a","Missing docs flagged with sources and lead times"
"petclear","s7_r3_b","Arrive at airport → first time hearing about the document →"
"petclear","s7_r3_a","Upload docs, vault tracks automatically"
"petclear","s7_r4_b","Denied boarding, pet left behind."
"petclear","s7_r4_a","Arrive verified, pet travels."
"petclear","s8_title","Impact + close"
"petclear","s8_i1_h","Transparency"
"petclear","s8_i1_b","No surprises at the check-in counter."
"petclear","s8_i2_h","Less confusion"
"petclear","s8_i2_b","One source, one checklist."
"petclear","s8_i3_h","Safer travel"
"petclear","s8_i3_b","Fewer denied boardings, fewer pets left behind."
"petclear","s8_i4_h","Confidence"
"petclear","s8_i4_b","Owners who avoided travel now have clarity to go ahead."
"petclear","s8_quote","""The problem was never the rules. It was that nobody made them visible."""
